Ticker,Description,Price,Market Capitalization,Enterprise Value (MRQ),Free Cash Flow (Annual YoY Growth),EBITDA (Annual YoY Growth),EPS Diluted (Annual YoY Growth),Gross Profit (Annual YoY Growth),Net Income (Annual YoY Growth),Yearly Performance,Monthly Performance,Change %,Gross Margin (TTM),Operating Margin (TTM),Pretax Margin (TTM),Net Margin (TTM),Industry
AAPL,Apple Inc.,155.74,2477530410257,2508880000000,19.89177326,8.57335341,8.89205558,11.74199796,5.41085763,3.95140836,5.48631807,12.69175109,43.30963056,30.2887444,30.20404333,25.30964071,Telecommunications Equipment
MSFT,Microsoft Corporation,235.87,1758286544202,1713130000000,16.09287573,21.06884775,19.78642826,17.05910786,18.71521601,-27.27356818,-0.3969427,1.27522542,68.26000246,41.69050843,41.74024375,34.36612089,Packaged Software
GOOG,Alphabet Inc.,96.58,1248046427422,1257450000000,56.41294961,66.23922256,91.41843246,50.12497695,88.81273436,-34.43268454,-1.46908794,0.44721789,55.86562516,27.4650949,28.00354931,23.8723104,Internet Software/Services
AMZN,"Amazon.com, Inc.",103.41,1054953108198.9998,1253090000000,-156.80450548,22.21267563,54.8893033,29.2759088,56.41085744,-39.20804681,-9.59083756,-8.48672566,43.04437953,2.68802109,1.98330914,2.25471982,Internet Retail
TSLA,"Tesla, Inc.",228.52,721609601402,905545000000,83.80671339,117.95644115,667.84369115,105.21870287,700.57971014,-35.82725114,-19.27370355,-13.84731385,26.61261237,16.71052456,16.52485206,14.93661755,Motor Vehicles
BRK.A,Berkshire Hathaway Inc.,451900,667190661503.9999,629393000000,-2.30185718,12.73816273,122.96385181,13.07805838,111.17800616,3.95609892,11.81969291,11.17671661,19.72554264,13.55975547,4.41198323,4.04152455,Multi-Line Insurance
UNH,UnitedHealth Group Incorporated,551.24,515620345138,532302000000,-1.16284848,,12.8050112,,12.21839901,21.68653422,8.83746644,9.14779027,,8.59519291,8.00906327,6.16594419,Managed Health Care
XOM,Exxon Mobil Corporation,110.7,461357317994,387299000000,1479.22723795,192.17580295,202.57898744,110.30331311,202.67379679,73.45659668,28.5415699,26.78960027,25.23314579,15.33754401,18.04867829,13.25034621,Integrated Oil
JNJ,Johnson & Johnson,174.87,457194699119.0001,432698000000,-2.1348259,15.06191559,41.71779141,17.05940558,41.89207557,6.77779813,5.18812596,7.04578844,67.4495073,24.74948753,23.26670343,19.933821,Pharmaceuticals: Major
V,Visa Inc.,209.34,433011439899,380710000000,23.1166506,23.71933622,27.59060513,23.92122634,24.55862758,-4.51995439,18.09770958,17.83844638,77.50255885,67.29785056,61.87649266,50.19106107,Miscellaneous Commercial Services
WMT,Walmart Inc.,142.51,386806047759,422141000000,-57.09027509,2.62467192,2.72052935,3.54230891,1.20651369,-3.93016044,8.44684575,9.8766384,24.59817905,4.21061406,3.14277743,2.3595498,Specialty Stores
JPM,JP Morgan Chase & Co.,126.08,369738747401,905425000000,-38.62533659,,73.06600586,,65.91246163,-25.08615567,18.99952808,20.6507177,,31.95934378,32.930961,26.64687313,Major Banks
CVX,Chevron Corporation,179.98,352299109542,286930000000,1204.47129909,138.19912457,374.54287835,364.99010554,381.88706477,61.30130848,26.67511261,25.27319552,21.3687004,16.86285844,20.51736823,14.96268853,Integrated Oil
NVDA,NVIDIA Corporation,138.34,344466590881.0001,451636000000,73.24243715,107.40287014,123.0733546,68.0934975,125.11542013,-44.39263606,11.47461724,13.96325892,60.44791176,33.61019571,26.17190127,26.03066783,Semiconductors
LLY,Eli Lilly and Company,359.9,341967906408,306939000000,16.41723888,11.28280418,-9.80022394,10.22800619,-9.88100812,43.86792453,7.90633526,11.30354105,75.97718665,29.83725882,21.42948054,19.57847592,Pharmaceuticals: Major
PG,Procter & Gamble Company (The),135.22,320430401125,343465000000,-12.94276181,-2.84615745,5.55979783,-2.38095238,3.04767231,-4.70082458,1.65388663,7.1049505,47.00786717,22.00072085,22.31764457,18.10690894,Household/Personal Care
MA,Mastercard Incorporated,329.47,316786468237,281226000000,35.37124562,25.13326528,37.41369571,,35.50148183,-4.27114507,15.55890709,15.87184357,,56.48011101,53.03422757,45.25439408,Miscellaneous Commercial Services
HD,"Home Depot, Inc. (The)",298.65,305735895186,354582000000,-14.47850513,24.54680964,30.13799633,13.39028672,27.72423442,-19.93297587,8.51318945,8.23005001,31.96683823,15.3047881,14.40488537,10.8767771,Home Improvement Chains
BAC,Bank of America Corporation,36.18,290714941134,753581000000,10.17129138,,90.66538503,,78.7079468,-23.97562513,18.50638716,19.8013245,,30.91917546,29.08854633,25.81055248,Major Banks
META,"Meta Platforms, Inc.",99.2,266220266029,349045000000,65.52132701,38.41600688,36.44930193,37.54276558,35.07856996,-68.30569667,-26.31109791,-26.88679245,80.30648097,29.74304703,29.94708547,24.41010879,Internet Software/Services
PFE,"Pfizer, Inc.",47.43,266193859480.99997,306036000000,145.29030139,88.75490339,138.58074038,56.87751004,141.805874,10.43073341,6.17864338,8.38665448,59.08126511,32.80110524,31.73632013,29.09063996,Pharmaceuticals: Major
KO,Coca-Cola Company (The),60.76,262757443444.99997,271461000000,29.89500404,11.74576895,25.63616071,18.90203308,26.12624242,8.98654709,7.23614543,8.46126383,58.5386536,23.23691525,28.60978942,23.37824469,Beverages: Non-Alcoholic
ABBV,AbbVie Inc.,147.61,260988733948.99997,,30.97081596,27.91276413,136.98589894,23.25001578,151.71202809,36.18414983,2.35057551,9.98435288,83.77004099,35.81694599,25.56771995,23.10486172,Pharmaceuticals: Major
MRK,"Merck & Company, Inc.",100.77,255278595446,,65.88255495,78.51099831,84.86264922,26.15149142,84.64695062,20.85632046,15.84090125,17.01114724,76.78783917,34.93220708,28.22330602,25.67918615,Pharmaceuticals: Major
PEP,"PepsiCo, Inc.",182.23,251059946826,269366000000,9.69715989,9.21083083,7.22594772,10.16264374,6.99438202,13.29188685,9.17859925,11.61950263,53.39676999,13.89191061,14.09034942,11.61225539,Beverages: Non-Alcoholic
COST,Costco Wholesale Corporation,510.87,226113183267,236826000000,-34.80446927,7.51654922,16.60957384,9.21766686,16.71659676,4.91005421,6.09307831,8.1732907,12.14871736,3.43373547,3.45444451,2.57497114,Specialty Stores
ORCL,Oracle Corporation,77.36,208535723618,284473000000,-63.43804538,1.52957536,-46.99467968,3.73819811,-51.1348756,-19.95861355,23.53880549,26.67430817,73.78730921,34.27012093,15.39924815,13.1550342,Packaged Software
